Source,Author,Work,Work Label,Edition,Place of Production,Year of Publication,Language Code
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0002220596,Pozuelo de Alarcón (Madrid),2007,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/a5605276,Barcelona,2014,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/a5100467,Madrid,imp. 2011,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/a5677280,Madrid,1904,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0002223050,[Melilla,2005],http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/a5391416,[S.l.],[1890?],http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/a5784861,"[Burjassot, Valencia]",imp. 2015,http://id.loc.gov/vocabulary/languages/cat
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/a7169325,[Santander],"abril, 2011",http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/a6969709,Sevilla,2020,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/a6969709,Sevilla,©2020,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0001838620,Madrid,[2002],http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/a7169320,[Santander],"abril, 2011",http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/a5679149,[Barcelona],2015,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/a7169325,Fresno del Río [Cantabria],"abril, 2011",http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/a7168893,[Toledo],2005,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/a7168893,[Toledo],©2005,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/a4973024,"Barberà del Vallés, Barcelona",D.L. 2010,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/a6504975,Barcelona (España),[2019],http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/a6504975,Barcelona (España),©2019,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/a7169320,Fresno del Río [Cantabria],"abril, 2011",http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0001670089,Barcelona,[2000],http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/bimo0000659892,Barcelona,[ca. 1910],http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/bimo0000659794,Barcelona,1888 ,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/bima0000007364,En Amberes,1672,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/bimo0000659861,Madrid,1905,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0000659802,Barcelona,[1891],http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0000479850,Barcelona,1995,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/bima0000007199,En Bruxelas,1671,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/bima0000007191,En Madrid,1647,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/a5522405,Barcel[ona],1704,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/bimo0000659926,Madrid,1917,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/a4676791,Barcelona,2009,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mima0000029027,En Leon de Francia,1736,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/a5158581,Madrid,D.L. 2005,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/bimo0000659679,Leipzig,1860,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/a5368543,Barcelona,2013,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/bimo0002012914,Zaragoza,[2005],http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/bimo0001369889,[Barcelona],[1999],http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/bimo0002299098,[Pontevedra,2006],http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0000184688,Madrid,D.L. 1985-,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0001655891,[Barcelona],[2000],http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0000064467,Barcelona,D.L. 1989,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0000187620,[Madrid],D.L. 1985,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/bimo0000659888,Paris,1910-1914,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/bimo0000659878,Madrid,1905-1913,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/bima0000007181,En Madrid,1615,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/bima0000029073,En Madrid,1798-1800,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/bimo0000227298,[San Sebastián],D.L. 1983,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/bimo0002014254,[Madrid,2005],http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/bimo0000659844,Madrid,1902,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0000463502,Madrid,D.L. 1995,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/bimo0000660472,Barcelona,D.L. 1979,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0001877436,Pozuelo de Alarcón (Madrid),[2003],http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/bimo0000659688,Madrid,1862,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/bimo0000296632,Barcelona,1990,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/bimo0002011804,Barcelona ;,[2004],http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/bima0000007176,Impresso ... en Valencia,1605,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/a4694725,[Boadilla del Monte],D.L. 2009,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/a3298840,[Madrid],D.L. 2006,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/bima0000029016,En Amberes,1719,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0000254026,Madrid,[1982],http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/bima0000007356,En Madrid,1674,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/bima0000029028,En Londres,1738,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0000247449,Madrid,1982,http://id.loc.gov/vocabulary/languages/spa
BNE,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/bimo0001558496,Arganda del Rey (Madrid),[1999],http://id.loc.gov/vocabulary/languages/spa
